year,month,hour,temperature
2022,1,0,2
2022,2,0,3
2022,3,0,3
2022,4,0,6
2022,5,0,7
2022,6,0,9
2022,7,0,11
2022,8,0,15
2022,9,0,9
2022,10,0,7
2022,11,0,4
2022,12,0,-3
2022,1,6,3
2022,2,6,4
2022,3,6,5
2022,4,6,8
2022,5,6,9
2022,6,6,10
2022,7,6,14
2022,8,6,15
2022,9,6,14
2022,10,6,8
2022,11,6,4
2022,12,6,0
2022,1,12,6
2022,2,12,9
2022,3,12,11
2022,4,12,15
2022,5,12,16
2022,6,12,20
2022,7,12,18
2022,8,12,19
2022,9,12,19
2022,10,12,16
2022,11,12,9
2022,12,12,1
2022,1,18,5
2022,2,18,5
2022,3,18,6
2022,4,18,10
2022,5,18,15
2022,6,18,17
2022,7,18,15
2022,8,18,16
2022,9,18,11
2022,10,18,9
2022,11,18,3
2022,12,18,-2
2021,1,0,6
2021,2,0,3
2021,3,0,4
2021,4,0,0
2021,5,0,7
2021,6,0,8
2021,7,0,13
2021,8,0,12
2021,9,0,10
2021,10,0,8
2021,11,0,7
2021,12,0,8
2021,1,6,0
2021,2,6,5
2021,3,6,5
2021,4,6,6
2021,5,6,8
2021,6,6,9
2021,7,6,14
2021,8,6,14
2021,9,6,12
2021,10,6,10
2021,11,6,9
2021,12,6,10
2021,1,12,1
2021,2,12,8
2021,3,12,9
2021,4,12,9
2021,5,12,11
2021,6,12,16
2021,7,12,19
2021,8,12,18
2021,9,12,17
2021,10,12,12
2021,11,12,7
2021,12,12,7
2021,1,18,-1
2021,2,18,4
2021,3,18,5
2021,4,18,5
2021,5,18,7
2021,6,18,8
2021,7,18,15
2021,8,18,14
2021,9,18,13
2021,10,18,12
2021,11,18,9
2021,12,18,7
2020,1,0,4
2020,2,0,4
2020,3,0,5
2020,4,0,5
2020,5,0,7
2020,6,0,13
2020,7,0,11
2020,8,0,13
2020,9,0,13
2020,10,0,8
2020,11,0,6
2020,12,0,5
2020,1,6,5
2020,2,6,6
2020,3,6,7
2020,4,6,8
2020,5,6,7
2020,6,6,14
2020,7,6,14
2020,8,6,15
2020,9,6,14
2020,10,6,11
2020,11,6,10
2020,12,6,6
2020,1,12,6
2020,2,12,11
2020,3,12,10
2020,4,12,16
2020,5,12,13
2020,6,12,17
2020,7,12,16
2020,8,12,16
2020,9,12,14
2020,10,12,11
2020,11,12,9
2020,12,12,7
2020,1,18,4
2020,2,18,5
2020,3,18,6
2020,4,18,10
2020,5,18,12
2020,6,18,15
2020,7,18,14
2020,8,18,14
2020,9,18,13
2020,10,18,9
2020,11,18,8
2020,12,18,7
2019,1,0,6
2019,2,0,4
2019,3,0,5
2019,4,0,4
2019,5,0,10
2019,6,0,11
2019,7,0,13
2019,8,0,14
2019,9,0,11
2019,10,0,10
2019,11,0,6
2019,12,0,3
2019,1,6,7
2019,2,6,9
2019,3,6,6
2019,4,6,6
2019,5,6,11
2019,6,6,13
2019,7,6,14
2019,8,6,15
2019,9,6,14
2019,10,6,11
2019,11,6,8
2019,12,6,7
2019,1,12,6
2019,2,12,8
2019,3,12,9
2019,4,12,12
2019,5,12,19
2019,6,12,19
2019,7,12,20
2019,8,12,18
2019,9,12,14
2019,10,12,13
2019,11,12,9
2019,12,12,7
2019,1,18,6
2019,2,18,8
2019,3,18,8
2019,4,18,10
2019,5,18,15
2019,6,18,17
2019,7,18,18
2019,8,18,17
2019,9,18,13
2019,10,18,12
2019,11,18,8
2019,12,18,7
2018,1,0,4
2018,2,0,3
2018,3,0,5
2018,4,0,6
2018,5,0,8
2018,6,0,11
2018,7,0,15
2018,8,0,10
2018,9,0,13
2018,10,0,10
2018,11,0,9
2018,12,0,5
2018,1,6,5
2018,2,6,4
2018,3,6,5
2018,4,6,7
2018,5,6,10
2018,6,6,12
2018,7,6,16
2018,8,6,15
2018,9,6,14
2018,10,6,10
2018,11,6,9
2018,12,6,6
2018,1,12,8
2018,2,12,6
2018,3,12,6
2018,4,12,13
2018,5,12,16
2018,6,12,15
2018,7,12,21
2018,8,12,16
2018,9,12,15
2018,10,12,12
2018,11,12,10
2018,12,12,7
2018,1,18,7
2018,2,18,5
2018,3,18,5
2018,4,18,10
2018,5,18,14
2018,6,18,14
2018,7,18,18
2018,8,18,15
2018,9,18,12
2018,10,18,11
2018,11,18,9
2018,12,18,7
2017,1,0,2
2017,2,0,5
2017,3,0,5
2017,4,0,5
2017,5,0,8
2017,6,0,12
2017,7,0,14
2017,8,0,10
2017,9,0,11
2017,10,0,9
2017,11,0,5
2017,12,0,1
2017,1,6,4
2017,2,6,6
2017,3,6,7
2017,4,6,10
2017,5,6,10
2017,6,6,13
2017,7,6,15
2017,8,6,12
2017,9,6,12
2017,10,6,11
2017,11,6,9
2017,12,6,2
2017,1,12,8
2017,2,12,10
2017,3,12,12
2017,4,12,11
2017,5,12,15
2017,6,12,18
2017,7,12,19
2017,8,12,15
2017,9,12,13
2017,10,12,10
2017,11,12,9
2017,12,12,4
2017,1,18,6
2017,2,18,7
2017,3,18,10
2017,4,18,10
2017,5,18,10
2017,6,18,16
2017,7,18,17
2017,8,18,14
2017,9,18,12
2017,10,18,12
2017,11,18,9
2017,12,18,3
2016,2,0,-2
2016,3,0,0
2016,4,0,4
2016,5,0,2
2016,6,0,4
2016,7,0,8
2016,8,0,11
2016,9,0,13
2016,10,0,8
2016,11,0,6
2016,12,0,7
2016,1,6,2
2016,2,6,3
2016,3,6,5
2016,4,6,4
2016,5,6,7
2016,6,6,9
2016,7,6,12
2016,8,6,15
2016,9,6,14
2016,10,6,9
2016,11,6,8
2016,12,6,8
2016,1,12,4
2016,2,12,5
2016,3,12,8
2016,4,12,8
2016,5,12,11
2016,6,12,17
2016,7,12,20
2016,8,12,20
2016,9,12,15
2016,10,12,13
2016,11,12,10
2016,12,12,9
2016,1,18,2
2016,2,18,3
2016,3,18,5
2016,4,18,6
2016,5,18,10
2016,6,18,12
2016,7,18,14
2016,8,18,17
2016,9,18,17
2016,10,18,12
2016,11,18,9
2016,12,18,7